"personal_id","Disease_1","Disease_2","Disease_3","Disease_4","Disease_5","Disease_6","Disease_7","Disease_8","Disease_9","Disease_10"
"600706-4276372",0,1,0,0,0,0,1,1,0,1
"950806-4697398",0,1,1,0,0,0,0,0,1,1
"870304-1833540",0,0,0,0,0,1,0,0,0,0
"730715-4452794",1,0,1,0,1,1,0,1,0,1
"880416-4829618",1,1,0,0,1,1,1,1,1,1
"870414-2511774",1,0,0,0,1,1,1,1,0,1
"560323-4940657",1,0,0,0,1,0,0,1,1,1
"551217-3304316",0,1,0,1,1,0,1,1,1,1
"590327-1653462",0,0,1,1,0,0,1,1,0,0
"830804-2965057",0,1,0,1,1,0,1,1,1,1
"991116-3011793",0,1,1,0,1,0,1,1,1,0
"630913-3725570",0,1,0,0,0,0,1,1,0,1
"930221-3776409",1,0,0,1,1,0,0,1,1,1
"920726-4732605",0,0,0,1,1,1,1,1,0,1
"941028-2064595",0,1,0,1,0,0,0,1,1,1
"900801-4517978",0,1,1,0,0,0,1,0,1,0
"570909-4027108",1,1,1,0,1,0,1,1,1,0
"560414-4638398",0,1,0,0,1,1,0,0,0,0
"610807-1206269",1,0,0,1,0,1,1,0,1,1
"840607-4907424",0,0,0,0,0,0,1,1,1,1
"950514-4580324",1,0,0,1,0,0,0,1,1,1
"830128-4399453",0,1,1,1,0,0,0,0,1,0
"680301-3468870",0,1,1,1,0,0,1,0,1,1
"700524-4151396",1,1,0,0,0,1,0,1,0,1
"570124-3487938",0,0,0,1,0,1,1,1,0,0
"740403-3377447",0,0,0,1,0,1,1,0,1,1
"870403-3964789",0,1,1,1,1,1,1,0,1,1
"640328-3972197",1,1,0,1,1,1,1,1,1,1
"931007-3503049",0,1,0,0,0,0,0,1,0,0
"941002-3672152",1,1,1,1,1,1,0,0,1,0
"580725-3578468",1,1,1,0,1,1,1,1,1,0
"830809-3736715",0,1,0,0,0,0,0,0,0,1
"821128-2549812",1,1,0,1,1,0,0,0,0,0
"840226-4715606",1,0,0,1,1,1,1,0,0,1
"620806-3906620",1,1,1,1,0,0,0,1,0,0
"891027-1011399",0,0,0,1,1,1,0,1,1,0
"580323-3114733",0,1,0,0,0,1,0,0,0,0
"721005-2125198",1,1,1,1,0,0,0,1,0,0
"840619-4014436",0,0,1,1,1,0,0,1,1,1
"521007-2611127",0,0,0,0,0,0,1,1,0,1
"950915-1670828",0,1,0,0,0,1,0,1,0,1
"511104-4315262",1,1,1,1,0,1,1,0,0,0
"951207-3667704",1,1,1,0,0,0,1,1,0,0
"780917-2899776",1,1,0,1,0,0,1,1,0,1
"810701-2987275",1,0,1,0,1,0,0,0,1,0
"660403-2461773",1,0,1,1,0,0,0,0,0,1
"590618-1824483",0,0,1,0,1,0,0,1,0,0
"750303-2936825",0,1,1,0,1,1,1,1,1,0
"700920-1263476",0,0,0,1,0,0,0,1,0,0
"771208-2576059",0,1,0,1,1,0,1,1,1,0
"711004-1893482",1,1,0,0,1,1,1,1,1,1
"840223-4026184",0,0,0,0,1,0,0,0,1,0
"501009-1617656",0,0,1,0,0,0,0,1,0,1
"651016-2146986",1,0,0,1,1,0,0,1,1,1
"550403-2291200",1,0,0,1,1,0,1,0,0,0
"820419-1161169",0,0,0,0,0,0,1,1,0,0
"850424-1282541",0,1,1,0,1,0,1,0,1,0
"710105-3225821",1,1,1,0,0,0,1,0,0,0
"540507-2766741",0,1,1,0,1,1,0,1,0,1
"680919-2246793",0,0,1,1,1,0,1,1,1,0
"840724-1682953",1,0,0,1,0,0,0,0,0,1
"740516-1845557",1,0,1,0,0,0,1,1,0,0
"630415-4664706",0,0,1,1,0,0,1,0,0,1
"750721-1662280",1,0,0,0,0,1,0,1,0,1
"580706-1749842",1,0,0,0,1,1,1,0,0,1
"820628-4788763",1,0,1,0,1,0,1,0,0,1
"730514-1042321",0,1,1,1,1,1,1,0,0,1
"591216-3947042",0,0,1,1,1,0,0,0,1,0
"870217-3072192",0,1,1,0,1,0,0,0,1,1
"541224-1136493",1,0,1,1,1,1,1,0,1,0
"570105-3590961",0,1,1,0,0,0,0,1,0,1
"590515-1215122",0,0,1,1,0,0,0,1,0,1
"920425-1180605",1,1,0,1,0,1,1,0,1,1
"940106-4914914",0,1,1,1,0,1,0,0,1,0
"840622-3853168",1,1,1,0,0,1,1,0,1,0
"631128-4072852",1,1,1,0,0,0,0,1,0,1
"771212-3235165",1,1,1,1,1,1,0,0,1,1
"880423-2384882",0,0,0,0,1,0,0,0,0,0
"771211-1088236",1,0,0,1,1,0,0,1,0,0
"600926-2725088",0,0,0,0,0,0,0,0,1,0
"720817-2717581",0,0,1,1,0,0,0,0,0,0
"560712-1224139",0,0,1,0,1,1,1,0,0,1
"501021-2745820",1,0,0,1,0,0,0,1,0,1
"930201-4812506",0,1,0,1,0,0,1,1,1,0
"990527-2261723",0,0,0,0,1,0,0,0,1,0
"840213-4355284",1,0,1,1,0,0,0,0,1,1
"890505-3601070",0,1,0,1,1,0,0,0,1,1
"831002-1527057",0,1,0,0,0,1,1,0,0,0
"660412-3720524",1,0,1,1,1,1,1,1,1,1
"980605-1784473",1,1,0,0,0,1,0,0,0,0
"530411-4435930",0,0,0,1,0,0,1,0,0,1
"600821-1920123",1,1,1,1,1,0,0,0,1,0
"750404-2080430",1,0,0,0,1,0,0,1,1,0
"880927-1858280",0,0,1,1,0,1,1,1,1,0
"841106-2094055",0,0,0,1,0,0,1,0,0,1
"570106-1554989",1,1,0,0,1,1,1,0,0,0
"520921-3159682",1,1,1,1,1,0,1,0,1,0
"740606-4350359",1,1,1,0,0,0,0,0,1,0
"881107-2402707",1,0,0,0,1,1,0,0,1,0
"560301-4768070",0,0,1,1,1,0,1,1,0,1
"710205-2293758",0,0,1,0,0,0,1,0,1,1
"650501-3019801",1,1,0,1,0,0,1,0,0,0
"600917-2137748",1,0,0,1,1,1,0,0,0,0
"781017-4651621",1,0,0,0,1,1,0,0,0,1
"970106-2534497",1,1,0,1,0,1,1,1,0,1
"910714-1201944",0,1,0,1,0,1,1,0,0,0
"660126-2140298",1,1,1,0,1,1,0,0,1,0
"790302-4082189",1,0,0,1,0,1,0,0,1,0
"710608-4310166",0,1,0,1,1,1,0,0,1,1
"850511-3909864",0,1,0,0,0,1,1,1,0,1
"930705-4176978",0,1,0,1,0,1,0,1,0,0
"520623-3270858",1,0,0,0,0,1,1,1,0,1
"800613-1824615",1,0,0,1,0,0,0,0,1,1
"730513-4294336",0,1,0,0,1,1,1,0,1,0
"650112-2426746",0,1,0,1,1,1,0,1,1,1
"651211-3579597",0,0,1,0,1,1,1,0,0,1
"590627-3605416",0,1,0,1,0,0,1,1,0,0
"680320-1054169",1,0,0,1,1,0,0,0,1,0
"660505-4720371",0,0,0,0,1,1,0,1,1,0
"530828-4456863",0,1,1,1,0,1,0,1,1,1
"671212-3770619",1,1,0,1,0,1,1,0,1,1
"530610-3587862",1,0,0,0,0,0,1,0,1,1
"731018-4771084",1,0,1,1,0,1,0,0,0,0
"720306-4820764",1,1,0,1,1,1,0,0,0,0
"840713-4848688",0,1,1,1,1,0,1,1,1,0
"850309-2709619",0,0,0,1,1,0,0,0,1,1
"510508-1071723",0,0,0,0,1,1,1,1,1,1
"880214-4302672",0,0,1,1,0,0,0,1,1,1
"561202-2896018",0,0,0,0,0,1,0,0,0,0
"740122-1586827",1,1,1,1,0,1,0,1,0,1
"871012-3883884",0,1,0,1,1,1,1,1,1,0
"630102-3470694",1,0,0,0,0,1,0,1,1,1
"721116-1915227",0,1,1,1,1,0,0,0,0,1
"770213-1452087",0,1,1,1,1,1,0,0,1,0
"821224-4799777",0,0,1,1,1,1,0,1,0,1
"510211-2218864",1,1,1,1,1,0,0,1,0,1
"550217-3119472",1,0,0,0,0,1,1,1,1,1
"831108-3886148",1,1,1,1,1,1,1,1,1,1
"841009-2471575",0,0,1,0,0,1,0,1,0,0
"750604-3078551",1,1,1,0,1,1,1,1,0,1
"741208-3928569",1,1,1,1,1,0,1,1,1,1
"780721-1439622",0,0,1,0,0,1,0,0,0,1
"880527-2135594",1,1,0,0,0,1,1,0,1,0
"930403-3518677",1,0,0,1,1,0,1,0,1,1
"550509-1490912",1,1,1,1,1,0,1,1,0,1
"940713-2510281",0,0,1,0,1,0,1,1,1,1
"591208-4833016",1,1,1,0,1,0,1,0,0,1
"760825-4445909",0,1,0,0,1,1,0,1,0,0
"540621-1947706",1,0,1,0,0,1,1,1,1,0
"841028-4666583",0,0,0,1,1,1,0,0,1,1
"581203-3780390",1,1,0,1,0,0,1,1,1,1
"590511-1473102",0,1,0,0,0,0,0,0,0,1
"971107-1741894",1,0,1,0,0,1,0,1,0,1
"770626-4563558",1,0,0,0,0,0,0,0,1,0
"520510-1850271",0,0,1,1,1,1,1,0,1,1
"950326-1624780",1,1,1,0,0,0,0,1,1,1
"960117-3474334",0,0,0,0,0,1,0,0,1,0
"990819-3474698",0,0,1,1,0,0,0,1,0,0
"960810-2538840",1,0,1,1,1,0,0,0,1,1
"901024-1869849",1,1,0,1,0,1,1,1,1,1
"620807-3884133",0,1,0,0,1,0,1,0,0,0
"920815-4041809",0,1,0,1,1,0,1,0,1,1
"820523-2053961",0,0,1,0,1,1,1,1,1,0
"770718-1071776",1,0,1,1,1,0,1,1,1,0
"990809-2947382",1,1,0,1,0,0,0,0,0,0
"830301-3792570",0,1,0,0,0,0,1,1,0,0
"800419-2264253",1,1,1,1,1,0,1,1,0,0
"791223-1493891",0,0,0,1,0,1,0,1,1,1
"601218-3144439",1,0,0,0,1,0,1,1,0,0
"681224-2943564",1,1,1,1,1,1,1,0,1,0
"671109-3067200",1,1,0,0,1,1,1,1,0,1
"860108-3237926",0,0,1,1,0,1,1,0,1,0
"700114-1186332",0,1,1,0,0,1,0,0,0,1
"590401-4269664",1,1,1,1,0,0,1,1,0,0
"911116-3544980",1,1,0,1,0,1,0,0,1,1
"861220-3085696",1,0,0,0,1,1,1,0,0,1
"720920-4928603",1,1,0,1,1,0,1,0,0,0
"901228-3040640",1,0,0,0,1,0,0,1,0,1
"890104-3264552",1,0,0,1,1,1,1,1,1,1
"561003-1323973",1,1,1,1,1,0,0,0,1,0
"981015-1844647",1,0,1,0,1,1,1,1,0,0
"710122-2354209",1,1,0,1,1,0,0,0,0,1
"800410-3397579",0,0,1,0,1,1,0,0,0,1
"550411-4674936",1,0,1,1,0,0,1,0,1,0
"580421-4017644",0,1,1,0,1,0,1,1,0,1
"790406-3623835",1,1,1,1,0,0,0,0,0,0
"530719-2751156",0,1,0,0,1,1,1,0,1,1
"840313-4882164",0,1,1,0,1,1,0,1,0,1
"671019-2256530",1,1,1,0,1,0,1,0,1,0
"930410-2277539",1,1,0,0,0,0,1,1,0,1
"830610-2607440",0,0,1,1,0,1,1,0,1,0
"640117-1351822",0,0,1,0,1,1,1,0,0,1
"830804-3704514",0,1,1,1,1,0,1,1,0,0
"720805-3435397",0,1,0,1,1,0,1,0,1,0
"720725-2442095",1,1,1,0,1,0,1,1,0,1
"681007-3797313",0,0,1,0,1,1,0,1,0,1
"870702-1016969",1,0,0,1,0,1,1,0,1,1
"571214-4492678",1,1,0,0,0,0,0,1,0,1
"570226-1896631",1,0,0,0,1,0,1,1,0,0
"750107-1335380",0,0,0,0,0,1,0,0,0,0
"960914-4900964",0,0,1,0,1,0,0,1,0,1
"980821-4440966",1,0,1,1,0,1,0,0,0,0
"850628-2010823",0,0,0,1,1,1,1,1,1,1
"900911-3897563",0,0,1,1,0,1,1,0,1,1
"571005-2585272",0,0,0,1,1,1,1,1,0,1
"990608-3309799",0,0,0,1,1,0,1,1,1,1
"781118-4510425",1,0,1,0,0,0,0,0,0,0
"521011-1392355",1,0,0,0,0,0,1,1,1,1
"880224-4075199",1,0,1,0,1,0,0,0,1,1
"900927-4215827",0,1,0,1,0,1,0,1,0,0
"610127-2164544",0,0,1,0,0,0,1,1,1,0
"610404-4809397",0,0,1,0,0,0,1,0,1,0
"760224-3614899",0,1,1,0,1,1,1,1,1,0
"600122-1771677",0,0,1,1,0,1,0,1,0,0
"750816-4439875",1,0,0,1,0,1,1,1,1,0
"641124-3392401",0,0,1,0,1,1,0,0,1,0
"550315-3179095",1,0,1,0,0,0,1,0,0,0
"891121-1817554",1,1,1,1,0,0,1,0,0,0
"990820-4387930",1,1,0,0,0,0,1,1,0,0
"600208-2619342",0,0,1,1,1,0,0,0,0,0
"530327-2310933",0,0,1,1,1,1,1,1,0,1
"950605-2351428",1,0,1,1,1,1,0,1,1,0
"540419-3417877",0,0,1,0,0,1,1,1,1,0
"600311-2350593",0,1,0,1,1,1,0,1,1,0
"671120-1553449",1,0,1,1,0,0,0,0,1,1
"590407-3766725",0,1,0,0,0,0,0,0,0,0
"900227-1710799",0,1,1,0,0,1,1,0,0,1
"690905-3830859",1,1,1,0,1,0,0,0,1,0
"551111-4384111",1,0,0,1,1,0,1,0,1,1
"570509-3541834",1,1,1,1,1,0,0,0,1,1
"610101-2999646",1,0,0,0,1,1,0,1,1,1
"700418-1225024",1,1,1,0,0,0,0,0,1,0
"670810-1274233",0,0,1,1,0,0,1,0,0,1
"800104-3854520",0,0,0,1,0,0,1,0,0,1
"560126-2283063",0,1,1,1,0,1,1,1,1,1
"991003-4381729",1,1,0,0,1,1,0,1,1,1
"650518-4946119",1,0,1,1,0,1,0,0,1,0
"861109-1808151",1,1,1,1,1,1,0,0,0,1
"770911-1873247",1,0,0,1,0,1,1,0,0,0
"520103-2411955",0,0,1,1,0,1,1,1,1,1
"650103-4662913",1,1,0,1,0,0,1,0,1,1
"700111-3798247",1,1,0,1,0,1,0,1,0,1
"910315-1019782",1,1,0,0,0,0,0,1,1,1
"911117-2252971",0,1,1,0,1,0,0,1,1,0
"940316-2489908",1,1,1,1,1,1,0,0,1,0
"840401-1596691",0,0,0,0,0,0,0,1,0,0
"790504-1666648",0,1,1,1,0,1,1,1,0,0
"730927-3252115",1,1,1,1,1,1,0,1,1,1
"750616-3076863",0,1,0,0,1,0,1,0,1,1
"611218-2005199",0,1,0,0,1,1,1,0,0,1
"990118-4751497",0,0,0,1,1,0,0,1,1,0
"780228-3438913",1,0,0,1,1,1,1,0,1,0
"661019-2904353",1,0,0,0,0,1,1,1,1,1
"900407-1472163",1,1,1,0,0,0,0,0,0,1
"920203-3443115",1,1,1,1,1,1,1,1,0,1
"840623-2191610",0,0,0,0,1,1,1,1,0,1
"570618-1355868",0,0,0,1,1,1,0,0,1,0
"620704-1581881",0,1,0,0,0,0,1,0,1,1
"800908-2891194",1,1,0,0,1,1,1,1,1,0
"910220-2339374",0,0,0,1,0,0,1,1,0,0
"990212-4300718",0,0,0,0,0,0,1,0,0,1
"870808-1919276",0,1,0,1,0,0,0,1,0,1
"770328-2218102",1,1,1,0,0,1,0,0,0,1
"790410-3543736",1,1,0,0,0,1,0,1,1,1
"820208-1243820",0,1,1,1,0,1,0,1,1,1
"740116-2416863",1,0,1,1,1,0,0,1,0,0
"810410-2083750",1,1,1,1,1,1,0,1,0,0
"610701-3571713",1,0,0,0,0,0,0,1,1,0
"980604-4699141",0,1,1,1,1,0,0,0,0,1
"690801-2725515",1,1,0,0,1,0,1,1,1,0
"720501-2313309",0,0,1,0,1,1,1,1,0,0
"930625-2016561",1,1,1,0,0,1,1,1,0,1
"540626-2765301",1,0,0,0,0,0,0,0,0,0
"500511-4800991",0,0,0,1,1,1,0,0,0,0
"631209-4803810",0,1,0,1,0,1,0,0,1,1
"610916-2652673",1,1,1,0,0,1,0,1,1,0
"650111-1834287",1,0,1,1,1,1,1,0,0,0
"660605-2898403",0,0,1,1,0,0,0,1,1,1
"610413-4194245",1,0,1,0,1,1,0,0,1,0
"501023-2831962",1,1,0,0,1,1,0,1,0,0
"730305-3256477",1,0,0,1,0,0,1,0,1,0
"910120-4384640",1,1,1,1,1,0,1,0,1,0
"511101-1913391",1,0,1,1,1,0,0,0,0,0
"651216-4523101",1,1,0,1,1,0,0,1,1,0
"570512-3614868",1,1,0,0,0,0,0,1,0,1
"730911-2096042",0,0,1,0,1,1,1,1,0,0
"670713-3218988",1,1,1,1,0,0,0,1,1,0
"840407-2304230",1,0,0,0,0,1,0,0,0,1
"860314-1082358",0,0,1,0,0,1,0,1,0,1
"790915-2270906",1,0,1,1,1,1,0,0,0,0
"780623-3479009",0,1,1,0,0,1,1,0,0,0
"890320-4429003",1,0,0,0,0,0,0,0,0,1
"510509-4419311",0,0,0,1,0,0,1,0,0,0
"530915-2319639",1,0,1,1,1,0,0,1,0,0
"721216-2159077",0,1,0,1,1,0,0,0,1,0
"881126-4929106",0,1,0,0,0,0,1,0,0,1
"800620-3088636",1,0,0,1,0,1,1,0,0,1
"511020-4306156",0,1,0,1,1,0,0,0,1,1
"850317-1737204",0,0,1,1,0,1,1,1,0,1
"791005-3193731",0,0,1,0,0,0,0,1,0,0
"950401-2654616",0,0,1,0,0,1,0,1,0,1
"510417-3467102",0,1,0,0,1,0,1,1,0,1
"511101-2290136",1,0,0,1,0,0,0,1,1,1
"511001-4072760",0,0,1,0,0,1,0,0,1,0
"590724-2658943",1,1,0,0,0,1,0,0,0,1
"601212-2469280",1,0,0,0,0,0,0,0,1,1
"991017-2315836",1,0,1,1,0,1,0,0,1,0
"630624-2825872",0,0,0,1,1,1,1,0,1,0
"750220-1165589",0,1,1,1,1,0,1,0,0,1
"640919-2744610",1,1,0,1,0,0,1,1,0,0
"810413-2314566",0,0,0,0,1,1,1,0,1,0
"720707-3595003",1,1,1,1,1,1,1,1,0,1
"860101-3180818",1,0,1,1,0,1,0,0,1,0
"910402-2363825",1,1,0,0,0,0,1,0,1,0
"941223-4256508",0,0,1,1,1,0,0,1,0,0
"801216-1564342",1,0,0,0,0,0,1,1,1,0
"630622-1193791",1,0,0,1,1,0,1,0,1,1
"741226-1978993",0,1,0,1,0,1,0,0,0,1
"590206-4871116",0,0,1,1,0,0,0,0,1,0
"630818-2115788",0,1,1,1,0,1,0,1,0,1
"500902-2951201",0,0,0,1,1,1,0,0,1,1
"510606-4098393",0,0,0,1,1,1,1,1,0,1
"621107-1695832",0,1,1,0,0,1,1,1,0,1
"660602-1572677",1,1,1,0,1,1,0,0,1,1
"551020-3538376",1,1,1,0,1,1,1,0,1,0
"530104-4201138",0,1,1,1,1,1,1,0,0,1
"820120-4923061",0,0,0,1,0,0,0,1,0,0
"531022-1221739",0,0,0,1,1,1,1,1,1,1
"910923-1245326",0,1,0,0,0,1,1,1,1,0
"640924-2173115",0,0,0,1,1,0,1,0,1,1
"681003-2541674",0,1,0,1,0,0,0,0,1,1
"951016-1408629",0,0,1,1,0,1,0,0,1,0
"660104-4895114",0,0,0,0,0,0,1,1,1,0
"540322-2613720",0,1,0,1,1,0,1,1,1,0
"780422-3102730",1,1,1,0,1,1,0,1,1,0
"620121-4475766",0,1,1,0,1,1,1,0,0,0
"700920-2409724",0,1,0,0,0,0,1,1,1,0
"700415-1184007",1,0,1,1,1,1,0,1,1,0
"700103-4172543",0,0,1,1,0,1,1,0,1,1
"810816-2398424",1,1,0,0,1,1,0,1,1,1
"880924-2822711",0,1,0,1,0,0,1,0,0,1
"911219-4851211",1,1,0,0,0,0,0,1,0,1
"780124-1822107",1,0,0,1,0,0,1,0,0,1
"600815-3679086",0,0,1,0,1,0,0,1,1,1
"930206-2315521",1,1,1,1,1,1,1,0,1,1
"571227-4851087",1,1,0,1,1,0,1,0,0,1
"550820-4419448",0,1,1,0,0,0,1,0,0,1
"950702-4989989",1,1,0,0,0,0,1,1,1,0
"750717-3086523",0,0,0,1,0,1,1,1,0,1
"880404-3061740",0,1,1,1,1,1,1,0,0,1
"840701-1671598",1,1,0,1,1,1,0,0,0,0
"650701-3601270",1,1,0,0,1,0,1,1,0,1
"680920-4723419",0,1,0,0,0,1,1,0,1,0
"950604-1672766",0,0,1,0,1,0,0,1,1,1
"830111-3401455",1,0,0,0,0,0,0,0,1,0
"611213-1773883",0,1,0,1,0,0,0,1,0,0
"820316-3554698",0,1,0,1,1,0,1,1,0,0
"760610-4992267",0,0,0,0,0,1,1,1,0,1
"850705-1030138",0,1,0,1,1,0,1,0,0,0
"511226-3459058",1,1,1,1,0,1,0,0,0,1
"950514-1571833",1,0,0,0,0,0,1,0,0,0
"760926-1933123",1,1,0,1,1,1,1,0,0,1
"600508-3201262",0,0,0,0,0,1,0,1,1,1
"781223-2370139",0,0,1,1,1,1,1,0,0,1
"830306-2184141",0,0,0,1,0,1,1,1,1,0
"520504-3052005",1,1,1,0,1,0,0,0,0,1
"800310-4816199",1,0,0,0,1,1,1,0,1,1
"671112-1482940",1,0,1,0,1,0,1,1,0,1
"941214-1944719",0,1,0,0,0,0,1,0,0,0
"570709-1790190",0,0,1,1,0,0,1,1,1,0
"620319-3951978",1,0,1,1,0,0,1,0,1,0
"780215-3674487",1,1,1,1,0,1,1,1,1,1
"530607-4925821",1,0,1,1,1,0,1,0,0,0
"550115-3102611",1,1,1,1,1,0,0,0,1,0
"930227-4788453",0,0,1,0,1,0,1,1,1,0
"640310-3726823",0,1,1,1,1,0,0,1,1,1
"620712-3665743",1,0,0,1,0,1,0,1,0,0
"530918-2162083",1,0,1,0,1,0,1,1,0,0
"900118-1822673",1,0,0,0,1,0,0,0,0,0
"650213-2052284",0,1,0,1,1,1,0,0,1,1
"920413-4242622",0,0,0,1,1,0,1,1,0,0
"660422-3496179",0,0,0,0,1,0,1,1,1,0
"501021-4818799",1,1,1,1,1,1,1,1,1,0
"690628-1678861",0,1,0,1,0,1,1,1,1,0
"870112-1773080",1,1,1,1,0,0,1,0,1,0
"830228-4904771",0,1,1,0,0,1,1,1,0,1
"810715-3003041",1,0,0,0,0,0,0,1,0,0
"690117-4535833",1,1,1,1,1,1,0,0,1,1
"590214-4097437",1,1,0,1,0,0,0,1,1,1
"751218-2190732",0,1,1,1,0,1,1,1,1,1
"631113-3107046",1,1,0,1,1,0,1,0,1,0
"830624-4924874",1,0,1,0,1,0,1,1,1,0
"870714-1098792",1,0,1,0,0,1,0,1,1,1
"510307-2160975",1,1,1,1,1,1,1,0,1,0
"591115-4519212",1,0,0,1,1,0,0,1,1,0
"720621-1834111",1,1,1,0,1,1,1,0,1,1
"500712-3860682",0,0,1,1,0,0,0,1,0,0
"970117-2125466",1,0,0,1,0,1,1,0,1,0
"700221-4748938",0,0,0,0,1,0,1,1,1,0
"750914-2525062",1,0,0,1,0,0,0,0,1,0
"500216-1391734",1,0,0,0,1,1,0,0,0,1
"930605-4466999",0,0,1,1,1,0,1,0,0,1
"830212-4914055",1,1,0,1,1,0,1,1,1,0
"790812-3614001",1,1,0,0,1,0,1,1,0,1
"680614-2998060",0,1,1,0,0,0,1,1,1,0
"610124-3732267",0,0,1,1,0,0,1,1,0,1
"880709-4145905",0,0,0,1,1,1,0,0,0,1
"590421-4379040",0,0,0,1,0,0,0,0,0,1
"830620-1017283",1,1,0,1,1,0,0,1,1,0
"720226-3504750",0,1,1,1,1,0,0,1,1,1
"980504-4432028",1,0,0,0,0,0,1,1,0,1
"640718-2108686",1,1,1,0,0,0,0,1,0,1
"600419-3770080",0,0,0,1,0,0,0,1,1,0
"590815-2867185",1,0,1,0,0,1,0,1,0,1
"650823-1731486",0,0,1,1,1,0,0,1,0,0
"770209-1012961",1,1,1,1,0,0,1,1,1,1
"531009-3768516",1,0,1,0,1,1,1,0,0,1
"950619-2150468",0,1,1,0,1,1,1,1,1,0
"691014-1758072",1,0,1,0,0,0,1,1,0,1
"951012-1900499",1,0,1,0,0,1,1,0,0,0
"580411-2230678",0,1,1,1,0,0,0,1,0,0
"681107-1433591",0,0,1,1,1,1,0,1,1,0
"571210-2454709",1,1,0,1,1,1,1,0,0,0
"891112-4760697",1,0,0,1,1,1,1,1,0,1
"560304-3205072",0,0,1,1,0,1,1,1,1,1
"840117-2880887",1,1,1,1,0,0,1,0,1,0
"890312-2115807",0,0,0,1,0,1,0,1,0,0
"670317-4649468",0,0,1,0,1,0,0,1,1,0
"990924-2909365",1,1,1,1,0,1,0,1,0,0
"530106-3407740",1,0,1,0,0,0,1,1,0,0
"620407-4799732",0,1,1,0,0,1,1,0,0,0
"510709-1028876",1,0,1,1,1,0,0,1,0,0
"690504-2253985",0,0,0,0,1,0,0,0,1,1
"931219-2283487",1,0,1,0,0,1,0,1,0,1
"740528-3419219",1,1,1,0,1,0,0,1,0,0
"880708-3993460",0,1,1,1,1,1,1,0,1,1
"760527-3948042",0,1,1,0,0,0,0,1,1,1
"620316-3074062",1,1,0,1,1,0,1,0,1,1
"650927-3685248",0,0,0,0,0,1,0,1,0,0
"660506-1790643",0,0,0,0,0,1,0,1,0,1
"520607-2543718",1,1,1,0,1,0,1,0,1,1
"971123-3169575",0,1,0,0,1,0,1,1,1,0
"900925-1567841",1,1,1,0,0,0,1,0,0,1
"781124-4817794",0,1,0,1,0,0,1,0,0,1
"590123-4645602",1,0,1,1,1,0,1,0,1,1
"530217-4364497",1,1,1,1,0,1,0,1,0,1
"950625-1838632",0,1,1,1,1,1,0,1,1,1
"820720-2484027",1,0,0,1,1,1,0,0,0,1
"780704-2536007",1,1,0,0,1,0,1,1,0,1
"510420-2200021",1,0,1,0,0,1,1,1,1,1
"561115-3471310",0,0,1,1,1,0,0,0,0,0
"880724-1133355",1,1,0,1,0,0,1,1,0,0
"810813-3925941",0,1,1,1,0,0,1,1,1,1
"860822-2514798",0,1,0,1,0,0,0,1,1,0
"860109-3113772",1,1,1,0,1,0,1,1,0,0
"530102-2174405",1,0,0,1,1,0,1,1,1,1
"501214-4228481",0,1,0,0,0,1,1,0,0,0
